Strategy,RunId,RunStartedAt,BaselineCAGR,BaselineMDD,CAGR_net_0.5pct,WorstMDD,WindowCount,StabilityScore,AnnualTurnover,CostRobust,WalkforwardAdequate,OperationalStatus,ReadinessTier,Recommendation
ScoreN70_P1.0_ROE0.6,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,,,0.1259662179316782,-0.1690912032927476,3,0.6470445457350652,13.21567661488073,1,1,fresh,SMALL_LIVE_READY,START_SMALL_LIVE_FIRST
Biweekly Score50 MADScale,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,0.138306189380589,-0.1705786094359193,0.1119553049218027,-0.1689803115367256,3,0.5516527017489091,13.78508095195243,1,1,fresh,SMALL_LIVE_READY,LIVE_CANDIDATE
Weekly Score50 MADScale,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,0.1380841065135893,-0.1705786094359196,0.1117168905275061,-0.1689803115367256,3,0.5516527017489091,13.796408691391608,1,1,fresh,SMALL_LIVE_READY,LIVE_CANDIDATE
Weekly Buffer 20/25,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,0.0785333558867562,-0.124346609047593,0.0963190137145491,-0.1608384649290222,3,1.1031385016493236,14.425874157361989,1,1,fresh,SMALL_LIVE_READY,LIVE_CANDIDATE
Weekly Top20,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,0.0759377080451839,-0.1265160943296189,0.0902536899936912,-0.1587286857052234,3,1.0909149095888258,16.189323147091827,1,1,fresh,SMALL_LIVE_READY,LIVE_CANDIDATE
Daily Top20,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,0.0744004466601251,-0.1336745483165495,0.0873623653488917,-0.1587286857052234,3,1.1034555158811767,16.640740321722152,1,1,fresh,SMALL_LIVE_READY,LIVE_CANDIDATE
ScoreN70_P1.5_ROE0.6,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,,,0.1213991925625861,-0.2171146966558788,0,0.7772937662612917,16.55843322470402,1,0,fresh,PAPER_READY,PAPER_CANDIDATE
ScoreN70_P2.0_ROE0.6,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,,,0.1172540580917955,-0.2189853037282769,0,0.7885342462581095,19.37963484813978,1,0,fresh,PAPER_READY,PAPER_CANDIDATE
ScoreN50_P1.0_ROE0.6,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,,,0.116193930893875,-0.2161952409843438,0,0.7649012339998208,17.256344383997224,1,0,fresh,PAPER_READY,PAPER_CANDIDATE
ScoreN50_P1.5_ROE0.6,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,,,0.1152570268524892,-0.2173908852005394,0,0.7837142341811039,19.307346483053912,1,0,fresh,PAPER_READY,PAPER_CANDIDATE
Biweekly Score50 Rotation,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,0.1107928094652914,-0.1238379922425194,0.094162423312808,-0.0946438102111332,3,0.1676769828194394,8.8752599935474,1,1,fresh,PAPER_READY,PAPER_CANDIDATE
Biweekly Score50 RangeOsc,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,0.1099980767206187,-0.1232301677021743,0.093720353402287,-0.093370975345041,3,0.1695498444787538,8.691679449142608,1,1,fresh,PAPER_READY,PAPER_CANDIDATE
Biweekly Score50 RegimeState,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,0.1099980767206187,-0.1232301677021743,0.093720353402287,-0.093370975345041,3,0.1695498444787538,8.691679449142608,1,1,fresh,PAPER_READY,PAPER_CANDIDATE
Weekly Score50 Rotation,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,0.1092575890304612,-0.1235886114955545,0.0914033946747594,-0.0934722696121653,3,0.1671195228705559,9.54777979618998,1,1,fresh,PAPER_READY,PAPER_CANDIDATE
Weekly Score50 RangeOsc,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,0.1088129337539265,-0.1229806139509721,0.0913668992056777,-0.0919957583994103,3,0.1690252463722256,9.331192643286332,1,1,fresh,PAPER_READY,PAPER_CANDIDATE
Weekly Score50 RegimeState,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,0.1088129337539265,-0.1229806139509721,0.0913668992056777,-0.0919957583994103,3,0.1690252463722256,9.33119264328633,1,1,fresh,PAPER_READY,PAPER_CANDIDATE
Benchmark Weekly Top20,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00,,,,-0.1587286857052234,3,1.0909149095888258,,0,1,fresh,NOT_READY,HOLD
