regime_breadth_threshold,target_vol_annual,max_weight,stop_loss_pct,trend_exit_ma,norm_rank
0.55,0.2,0.2,0.12,60,0.04838709677419355
0.55,0.2,0.2,0.1,60,0.15207373271889402
0.55,0.2,0.2,0.1,40,0.15898617511520735
0.55,0.24,0.2,0.12,60,0.1935483870967742
0.55,0.2,0.2,0.12,40,0.21428571428571427
0.5,0.2,0.2,0.12,60,0.27419354838709675
0.55,0.24,0.2,0.1,40,0.30414746543778803
0.55,0.24,0.2,0.12,40,0.31105990783410137
0.55,0.24,0.2,0.1,60,0.31336405529953915
0.5,0.2,0.2,0.12,40,0.3433179723502304
0.5,0.2,0.2,0.1,40,0.35253456221198154
0.55,0.2,0.15,0.12,60,0.3986175115207373
0.5,0.2,0.2,0.1,60,0.41013824884792627
0.5,0.24,0.2,0.12,60,0.43548387096774194
0.55,0.2,0.15,0.1,40,0.4930875576036866
0.55,0.2,0.15,0.1,60,0.5023041474654378
0.5,0.24,0.2,0.1,60,0.5230414746543779
0.55,0.2,0.15,0.12,40,0.532258064516129
0.5,0.24,0.2,0.1,40,0.5460829493087558
0.55,0.24,0.15,0.12,60,0.5760368663594471
0.5,0.24,0.2,0.12,40,0.5852534562211982
0.5,0.2,0.15,0.12,60,0.6405529953917051
0.55,0.24,0.15,0.12,40,0.6774193548387097
0.55,0.24,0.15,0.1,60,0.6797235023041475
0.55,0.24,0.15,0.1,40,0.6866359447004609
0.5,0.2,0.15,0.12,40,0.7258064516129032
0.5,0.2,0.15,0.1,40,0.7350230414746544
0.5,0.2,0.15,0.1,60,0.7442396313364055
0.5,0.24,0.15,0.12,60,0.7695852534562212
0.5,0.24,0.15,0.1,60,0.8571428571428572
0.5,0.24,0.15,0.1,40,0.8963133640552995
0.5,0.24,0.15,0.12,40,0.9193548387096775
