"FileName","Category","ProposedTarget"
"config.py","core","keep-root-or-core-module"
"global_flow_observer_first_model_backtest.py","operations","tools/operations"
"global_flow_observer_first_model_mapping_correction_run.py","operations","tools/operations"
"global_flow_observer_generate_monthly_memo.py","operations","tools/operations"
"global_flow_observer_package_monthly_packet.py","operations","tools/operations"
"global_flow_observer_publish_monthly_packet.py","operations","tools/operations"
"global_flow_observer_run_monthly_cycle.py","operations","tools/operations"
"kis_api.py","core","keep-root-or-core-module"
"kis_backtest_from_prices.py","core","keep-root-or-core-module"
"kis_cost_sensitivity.py","research","tools/research"
"kis_data_coverage.py","core","keep-root-or-core-module"
"kis_flow_data.py","core","keep-root-or-core-module"
"kis_flow_signal.py","core","keep-root-or-core-module"
"kis_live_readiness.py","core","keep-root-or-core-module"
"kis_micro_live_order_sheet.py","core","keep-root-or-core-module"
"kis_operating_universe.py","core","keep-root-or-core-module"
"kis_optimize_params.py","research","tools/research"
"kis_param_grid.py","research","tools/research"
"kis_quality_data.py","core","keep-root-or-core-module"
"kis_research_summary.py","core","keep-root-or-core-module"
"kis_shadow_common.py","core","keep-root-or-core-module"
"kis_shadow_exceptions.py","core","keep-root-or-core-module"
"kis_shadow_health.py","core","keep-root-or-core-module"
"kis_shadow_ops_summary.py","core","keep-root-or-core-module"
"kis_shadow_performance.py","core","keep-root-or-core-module"
"kis_shadow_portfolio.py","core","keep-root-or-core-module"
"kis_shadow_rebalance_diff.py","core","keep-root-or-core-module"
"kis_walkforward.py","research","tools/research"
"main.py","core","keep-root-or-core-module"
"news_sidecar_data.py","research","tools/research"
"news_sidecar_eval.py","research","tools/research"
"run_research_pipeline.py","pipelines","tools/pipelines"
"run_single_asset_research.py","pipelines","tools/pipelines"
"screener.py","core","keep-root-or-core-module"
