Market,Sector,ContributionSum,ContributionMean,Months
US,Health Care,-0.0391695153506435,-0.004352168372293723,9
US,Consumer Staples,-0.021706498685730692,-0.021706498685730692,1
KR,Information Technology,-0.016399999999999998,-0.016399999999999998,1
KR,ETF,-0.011171162893264858,-0.001015560263024078,11
US,Industrials,0.000601898361007356,6.01898361007356e-05,10
KR,Health Care,0.0015585312092709636,0.0007792656046354818,2
US,Financials,0.05325519186093424,0.00665689898261678,8
US,Energy,0.05984939217269257,0.011969878434538514,5
US,Information Technology,0.08405507730582402,0.006465775177371079,13
KR,Industrials,0.15887880647140504,0.07943940323570252,2
