SignalDate,NetReturnDelta
2024-11-29,0.033133787716966887
2026-01-30,0.029927821640147803
2023-04-28,0.028603894870080387
2024-04-30,0.020608154635344808
2025-11-28,0.01438258583725549
2023-08-31,0.012813679420994262
2025-01-31,0.009109607689978691
2024-07-31,0.006911567189742257
2023-06-30,0.006268873535778374
2022-10-31,0.002942466821950235
2025-08-29,0.0009050843309510032
2024-01-31,0.0007888421441493709
2023-10-31,0.0002299999999999941
2024-08-30,0.00017285714285714474
2021-04-30,0.0
2021-08-31,0.0
2021-06-30,0.0
2020-02-28,0.0
2020-03-31,0.0
2020-05-29,0.0
2020-01-31,0.0
2020-07-31,0.0
2020-08-31,0.0
2020-10-30,0.0
2020-11-30,0.0
2021-01-29,0.0
2021-02-26,0.0
2021-03-31,0.0
2020-06-30,0.0
2025-06-30,0.0
2022-09-30,0.0
2022-08-31,0.0
2022-07-29,0.0
2022-05-31,0.0
2022-06-30,0.0
2022-04-29,0.0
2022-03-31,0.0
2021-09-30,0.0
2022-02-28,0.0
2021-11-30,0.0
2021-10-29,0.0
2021-07-30,0.0
2023-11-30,0.0
2024-05-31,0.0
2023-01-31,0.0
2023-03-31,0.0
2025-05-30,0.0
2025-04-30,0.0
2024-06-28,0.0
2025-03-31,0.0
2023-02-28,0.0
2025-02-28,0.0
2024-02-29,-6.714285714285763e-05
2022-11-30,-0.0001142857142857126
2023-07-31,-0.0017319949388115777
2025-10-31,-0.0029992002409824046
2024-10-31,-0.005552480383558878
2024-09-30,-0.007739819704265363
2025-07-31,-0.00913951612423601
2025-09-30,-0.009448269597114062
2023-05-31,-0.013193924304462784
