Split,Variant,UniverseCount,USCount,KRCount,ETFCount,StockCount,CAGR,MDD,Sharpe,FinalNAV,AnnualTurnover,AvgHoldings,Months
etf_only,rule_breadth_it_us5_cap,24,18,6,24,0,0.07211934370486128,-0.3009986181792237,0.680397325471123,1.5185090705169348,8.139344262295083,3.4262295081967213,61
etf_only,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count7_pen40_floor20_bonus18_pow05_risk_on,24,18,6,24,0,0.07694753985519509,-0.30099861817922346,0.7145825731813644,1.5599950457775456,7.991803278688526,3.4098360655737703,61
full_universe,rule_breadth_it_us5_cap,194,150,44,24,170,0.33433567237915396,-0.2524158832009178,1.4481980324244779,5.641818382878738,13.716065573770493,5.655737704918033,61
full_universe,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count7_pen40_floor20_bonus18_pow05_risk_on,194,150,44,24,170,0.626922798196353,-0.29270595691257784,1.689757073836905,18.53157469337123,15.311298934984725,5.459016393442623,61
kr_only,rule_breadth_it_us5_cap,44,0,44,6,38,-0.02069971429567319,-0.5035605416919733,0.057601709354313795,0.879960428121347,9.852,3.5733333333333333,75
kr_only,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count7_pen40_floor20_bonus18_pow05_risk_on,44,0,44,6,38,-0.004174643573530479,-0.5052222581894223,0.12055629023135632,0.9747486758569808,10.2,3.5733333333333333,75
stock_only,rule_breadth_it_us5_cap,170,132,38,0,170,0.2548732384585948,-0.24623852428543502,1.0216607814447907,4.006841295088399,8.201123595505617,4.0,89
stock_only,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count7_pen40_floor20_bonus18_pow05_risk_on,170,132,38,0,170,0.2488610281846837,-0.24129259029736938,0.9822217059496441,3.890905572547627,8.15056179775281,4.0,89
us_only,rule_breadth_it_us5_cap,150,150,0,18,132,0.3646632129356404,-0.22176107718747373,1.4895620392797049,6.606165005212016,12.065675675675676,4.756756756756757,74
us_only,rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count7_pen40_floor20_bonus18_pow05_risk_on,150,150,0,18,132,0.4642650907788468,-0.1892079330781654,1.7107850276742609,10.132916544803598,13.329729729729731,4.716216216216216,74
